                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8507,                 2.2472,                 1.7742,                0.06051,                 0.2106,                0.03645,                 0.0184,                 1.4466,                 20.656,                   1.38,               0.008317,               0.008317,               0.008317
                     36,                 1.8589,                 2.2622,                 1.7681,                0.05087,                0.19684,                0.03963,                0.01957,                 1.4472,                 20.438,                 1.3689,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.8507,                 2.2277,                 1.7575,                0.05776,                0.26651,                0.04177,                0.02193,                 1.4434,                 21.267,                 1.3712,               0.008218,               0.008218,               0.008218
                     38,                 1.8431,                 2.2167,                 1.7536,                0.05032,                0.34538,                0.04328,                 0.0233,                 1.4309,                  21.62,                 1.3593,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.8344,                 2.2184,                 1.7463,                0.04796,                0.41786,                0.04305,                 0.0234,                 1.4142,                 21.338,                 1.3485,               0.008119,               0.008119,               0.008119
                     40,                 1.8374,                  2.231,                 1.7498,                0.05553,                0.19009,                0.04585,                0.02433,                 1.4084,                 20.322,                 1.3483,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.8342,                 2.2017,                 1.7466,                 0.0595,                0.21024,                0.04473,                0.02355,                 1.4127,                 21.616,                 1.3476,                0.00802,                0.00802,                0.00802
                     42,                 1.8398,                 2.2063,                 1.7472,                0.06022,                 0.3025,                0.04527,                0.02334,                 1.4033,                 20.781,                  1.354,              0.0079705,              0.0079705,              0.0079705
                     43,                  1.832,                 2.1842,                 1.7347,                0.06373,                0.26442,                0.04609,                0.02451,                 1.3988,                 20.802,                 1.3408,               0.007921,               0.007921,               0.007921
                     44,                 1.8228,                 2.1755,                 1.7315,                0.04956,                0.25508,                0.04324,                0.02159,                 1.4115,                 21.227,                 1.3648,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.8274,                  2.182,                 1.7329,                0.06669,                0.12975,                0.04097,                0.02161,                 1.3982,                 22.064,                 1.3412,               0.007822,               0.007822,               0.007822
                     46,                 1.8178,                 2.1622,                 1.7326,                0.04458,                0.25963,                0.04189,                0.02202,                 1.3908,                 21.229,                 1.3306,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.8181,                  2.151,                  1.723,                0.05086,                0.28666,                0.04332,                0.02311,                 1.3681,                 21.225,                   1.31,               0.007723,               0.007723,               0.007723
                     48,                 1.8069,                 2.1505,                 1.7267,                0.05387,                0.32744,                0.04573,                0.02359,                 1.3796,                 21.634,                 1.3298,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.8157,                 2.1401,                 1.7184,                 0.0762,                0.15666,                0.05036,                0.02696,                 1.3855,                 21.759,                 1.3294,               0.007624,               0.007624,               0.007624
                     50,                 1.8102,                 2.1427,                 1.7184,                0.07053,                0.20593,                0.04805,                0.02567,                 1.3759,                 21.854,                 1.3306,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.7989,                  2.125,                 1.7042,                0.06507,                0.19329,                0.04358,                0.02294,                 1.3646,                 22.416,                 1.3198,               0.007525,               0.007525,               0.007525
                     52,                 1.8027,                 2.1283,                 1.7131,                0.05353,                0.21036,                0.04381,                0.02331,                 1.3492,                 22.029,                 1.3021,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.7961,                 2.1141,                 1.7089,                0.06243,                0.28014,                0.04333,                0.02228,                 1.3471,                 21.488,                 1.3019,               0.007426,               0.007426,               0.007426
                     54,                 1.7946,                 2.1282,                 1.7005,                0.06039,                0.23284,                0.04259,                0.02154,                 1.3457,                 21.331,                 1.2891,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.7982,                 2.1011,                 1.6979,                0.06725,                0.28899,                0.04298,                0.02198,                 1.3316,                 22.122,                 1.2864,               0.007327,               0.007327,               0.007327
